"dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","REMARKS","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","UASLOCATION","DATASET"
2018-01-04,"08:31","2018-01-04T08:31Z","REH9","DEN","UAS",NA,"SAN","Reported a red and white UAS passed helicopter at 2,400 FT over Lake Murray 5 E of MYF. No evasive action taken. LEO notification not reported. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 E of MYF","AIRPORT"
2018-01-09,"21:09","2018-01-09T21:09Z","JBU1145","DEN","UAS",NA,"FLL","Reported a 4-rotor UAS 10 NW of FLL at 2,500 feet. No evasive action reported. LEO notified UNKN.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 NW of FLL","AIRPORT"
2018-01-26,"06:26","2018-01-26T06:26Z","N893P","NCRCC","UAS",NA,"BUR","Reported a UAS operating in the vicinity of the Hollywood sign at the same altitude while maneuvering at 1,600 feet 5 S of BUR. No evasive actionreported. Burbank-Glendale-Pasadena PD Air Division notified on frequency. UAS was located and ground units were responding.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 S of BUR","AIRPORT"
2018-01-26,"22:58","2018-01-26T22:58Z","AWI3872","NCRCC","UAS",NA,"C90","Reported a small quad-copter UAS 200 feet above and off the right side of the aircraft. UAS was approximately 1 square foot in size with a white top and blue bottom. Aircraft was W bound at 5,000 feet 15 E of ORD. No evasive action taken. FBI notified at 312-829-2677.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 E of ORD","AIRPORT"
2018-01-27,"02:39","2018-01-27T02:39Z","SKW5448","NCRCC","UAS",NA,"ABQ","While S bound at 7,000 feet, reported a 2X2 foot gray quad-copter pass directly over at 12 o'clock within 500 feet 13.5 NE of ABQ. No evasive action taken. New Mexico State Police notified at 505-841-9256.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.5 NE of ABQ","AIRPORT"
2018-02-14,"09:23","2018-02-14T09:23Z","N766A","NCRCC","UAS",NA,"SDL","Reported a blue and white UAS 60 feet off the right wing while E bound at 2,600 feet 3 SW of SDL. No evasive action reported. Unknown if LE notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3 SW of SDL","AIRPORT"
2018-02-17,"04:52","2018-02-17T04:52Z","CPZ6022","DEN","UAS",NA,"LAX","Aircraft observed a red UAS at UNKN altitude 12 E of LAX. No evasive action reported. LAPD air unit notified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12 E of LAX","AIRPORT"
2018-02-17,"04:53","2018-02-17T04:53Z","OXF275","DEN","UAS",NA,"FFZ","Aircraft Observed a white quadcopter UAS at 2,400 feet 1 S of FFZ. No evasive action taken. Mesa PD notified at 480-644-2211. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 S of FFZ","AIRPORT"
2018-02-18,"03:06","2018-02-18T03:06Z","SWA4136","NCRCC","UAS",NA,"I90","Reported a red UAS onthe left side 200 feet above the aircraft while WNW bound at 6,000 feet 18 E of HOU. No evasive action taken. FBI notified at 713-693-5000.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18 E of HOU","AIRPORT"
2018-02-19,"01:42","2018-02-19T01:42Z","N9461N","NCRCC","UAS",NA,"PBI","Reported a black and orange UAS approximately the size of a basketball off the right side 800 feet laterally and at the same altitudewhile N bound at 7,000 feet 15 W of BCT. No evasive action reported. Palm Beach Sheriff's Office notified at 561-688-3400.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15 W of BCT","AIRPORT"
