"dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","REMARKS","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","UASLOCATION","DATASET"
2018-01-06,"04:57","2018-01-06T04:57Z","N738UT","DEN","UAS",NA,"F11","Aircraft reported a large UAS with green lights 200 feet below them while N bound at 5,000 feet, 26 NM ENE Orlando. No evasive action taken. Brevard County Sheriff notified at 321-455-1475.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26 NM E of F11","AIRPORT"
2018-01-15,"07:35","2018-01-15T07:35Z","N6522","DEN","UAS",NA,"POC","Reported a UAS 400 feet below off the left side while E bound at 600 feet. 1.5 NM NW of La Verne. No evasive action taken. La Verne PD notified at 909-596-1913.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5 NM N of POC","AIRPORT"
2018-01-22,"01:25","2018-01-22T01:25Z","SWA4195","DEN","UAS",NA,"ELP","Aircraft reported a white UAS on the left side at the same altitude while SW bound at 7,000 feet, 4.5 NM SW El Paso. No evasive action reported. Texas DPS notified 915-849-4080. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.5 NM S of ELP","AIRPORT"
2018-02-16,"04:40","2018-02-16T04:40Z","N398ES","DEN","UAS",NA,"CCR","Aircraft reported a UAS 200 feet below and 500 feet lateral from their Aircraft while S bound at 2,500, 5 NM N Concord, CA. No evasive action taken. LEO notification not reported.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 NM N of CCR","AIRPORT"
2018-02-19,"00:39","2018-02-19T00:39Z","N26V","DEN","UAS",NA,"RSW","Aircraft reported a UAS pass behind their aircraft while S bound at 2,500 feet at the same altitude, 2 NM N Fort Myers. No evasive action taken. Lee County PD notified at 239-690-3990.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 NM N of RSW","AIRPORT"
2018-02-19,"03:21","2018-02-19T03:21Z","KATT74","DEN","UAS",NA,"ZJX","Aircraft reported a small blue and white UAS at the same altitude while at 11,500 feet, 25 NM NE Pensacola, FL. No evasive action taken. Santa Rosa PD notified at 850-983-1100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25 NM N of ZJX","AIRPORT"
2018-02-20,"01:36","2018-02-20T01:36Z","EJA558","DEN","UAS",NA,"RSW","Aircraft reported a white quad copter UAS 200 feet below their aircraft while at 2,000 feet, NE bound, 5 NM NE of Naples, FL. No evasive action taken. Lee County PD notified at 239-690-3990.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5 NM N of RSW","AIRPORT"
2018-02-21,"22:44","2018-02-21T22:44Z","N404MT","DEN","UAS",NA,"FLL","Aircraft reported a UAS 100 feet below them while E bound at 500 feet, 2 NM E Hollywood, FL. No evasive action taken. Broward County Sheriff notified at 954-764-4357. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 NM E of FLL","AIRPORT"
2018-02-23,"01:47","2018-02-23T01:47Z","N710BB","NCRCC","UAS",NA,"ZDC","Reported a UAS off the left side while S bound at 12,000 feet 46 NM NE of Greensboro. No evasive action taken. Greensboro PD notified at 336-373-2222. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46 NM N of ZDC","AIRPORT"
2018-02-25,"01:30","2018-02-25T01:30Z","DPJ817","DEN","UAS",NA,"RSW","Reported observing a UAS 200 feet below while SW bound at 2,000 feet, 20 NM NE of Naples. No evasive action taken. Lee County Sheriff notified at 239-690-3390. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20 NM N of RSW","AIRPORT"
