"REMARKS","dateonly","timeonly","DATE","CALLSIGN","POD","PRIMARYCODE","SECONDARYCODES","REPORTINGFACILITY","MORID.CEDAR","FACILITY.CEDAR","UTCTIME.CEDAR","UTCTIME24.CEDAR","CALENDARDATE.CEDAR","NEARESTAIRPORT.CEDAR","AIRSPACECLASS.CEDAR","ACLOCATION.CEDAR","ACALTITUDE.CEDAR","ACHEADING.CEDAR","RELATIVECLOCKPOSITION.CEDAR","UASLONG.CEDAR","UASLAT.CEDAR","SUMMARY.CEDAR","QAFINDINGS.CEDAR","DATASET","UASLOCATION","RWYLOCATION"
"Pilot reported a red and white UAS at 10 o'clock position and 2.5 NM, while SE bound at 7,000 feet 10 NM W of Salinas(SNS). No evasive action taken LEO not notified by ATC. ","10/27/2018","1:24","2018-10-27T01:24Z","BAYJUMP1","DEN","UAS",NA,"NCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10 NM W of NCT",NA
"Pilot reported a black UAS, one foot in diameter, at 2,500 feet, 2.5 NM E of Addison. UAS was ENE bound at approx. 2,000 feet. No evasive action taken. DFW Airport PD notified at. ","10/27/2018","5:04","2018-10-27T05:04Z","N67557","DEN","UAS",NA,"WOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2.5 NM E of WOC",NA
"Pilot reported at large UAS three to four feet in diameter at same attitude while NNE bound at 16,500 feet, 2 NM E of Carmel. No evasive action taken. Lewisboro PD notified at. ","10/28/2018","0:33","2018-10-28T00:33Z","ASQ4184","DEN","UAS",NA,"ZBW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM E of ZBW",NA
"PIC reported a fixed wing UAS 5FT in diameter 500FT below while S bound at 7,500FT 4 NM SW Montgomery. No evasive action taken. Montgomery PD notified at.","10/29/2018","1:43","2018-10-29T01:43Z","N127CF","DEN","UAS",NA,"MGM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4 NM SW  MGM",NA
"PIC reported a UAS at same altitude while E bound at 8,000FT 5 NM W Chardon, OH. No evasive action taken. FBI notified at.","10/29/2018","23:43","2018-10-29T23:43Z","CFMHD","DEN","UAS",NA,"CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM W  CLE",NA
"PIC reported a UAS off leftside while ENE bound at 4,500FT, 14 NM NE of Los Angeles, CA. LAPD Air Division notified at. ","10/30/2018","5:02","2018-10-30T05:02Z","ASA432","DEN","UAS",NA,"LAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","14 NM NE of LAX",NA
"PIC reported a white Phantom 4 type UAS 200FT below and 0.25 NM N of Aircraft while W bound at 6,000FT VCNY Salt Lake City, UT. No evasive action taken. SLC Airport PD notified at.","10/31/2018","0:27","2018-10-31T00:27Z","GRIFFIN18","DEN","UAS",NA,"SLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","0.25 NM N of SLC",NA
"PIC reported a white phantom quad-copter UAS off the right side while ESE bound at 700FT 2 NM NW MIA. No evasive action taken. Miami Dade PD Aviation Unit notified at.","10/31/2018","2:49","2018-10-31T02:49Z","DAL1956","DEN","UAS",NA,"MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","2 NM NW MIA",NA
"ATC reported black and yellow UAS at 1,000FT 1 NM N Juneau, AK. No conflict with Aircraft. Juneau PD notified at.","10/31/2018","23:30","2018-10-31T23:30Z",NA,"DEN","UAS",NA,"JNU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM N  JNU",NA
"Reported a black UAS at 6,000 feet, 5 NM E of Hartford, CT. No evasive action reported. Connecticut State PD notified at.","11/3/2018","0:46","2018-11-03T00:46Z","N1309M","DEN","UAS",NA,"BDL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM E of BDL",NA
"Pilot reported two black rotorcraft UAS off right side 200 feet away while S bound at 2,700 feet, 7 NM SE of Bedford. Needham PD notified. No further information reported. ","11/4/2018","20:23","2018-11-04T20:23Z","N625RW","DEN","UAS",NA,"A90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","7 NM SE of A90",NA
"Reported a UAS at 3,500 feet, 3 NM S of Butler PA. No evasive action taken. Butler County PD notified at.","11/5/2018","6:49","2018-11-05T06:49Z","N5385S","DEN","UAS",NA,"WOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM S of WOC",NA
"PIC reported a 1FT in diameter quad copter UAS while WSW bound at 10,000FT 40 NM ENE Detroit, MI. No evasive action taken. Windsor PD notified at.","11/6/2018","4:30","2018-11-06T04:30Z","GGN7365","DEN","UAS",NA,"D21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","40 NM ENE  D21",NA
"Pilot reported a white UAS 200 feetbelow aircraft while NW bound at 6,000 feet 9 NM WSW of Queen Mary. Evasive action not reported. LEO notified at. ","11/7/2018","7:03","2018-11-07T07:03Z","EJA633","DEN","UAS",NA,"LGB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","9 NM WSW of LGB",NA
"Pilot reported a UAS at same altitude while N bound at 1,000 feet 2 NM S of Murfreesboro. No evasive action taken. Metro National Airport Authority notified at.","11/7/2018","7:13","2018-11-07T07:13Z","N584MT","DEN","UAS",NA,"BNA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM S of BNA",NA
"Reported observing a red and green Quad-copter UAS while Sbound at 7,000 feet, 25 NM SE of Atlanta. No evasive action taken. Houston County Sheriff notified at. ","11/9/2018","13:44","2018-11-09T13:44Z","N208LS","DEN","UAS",NA,"ZTL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","25 NM SE of ZTL",NA
"PIC reported a UAS while ENE bound 600FT below Aircraft at 1,000FT 0.25 NM E of Livermore. No evasive action taken. LEO not notified. ","11/14/2018","6:25","2018-11-14T06:25Z","N733ZK","DEN","UAS",NA,"LVK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","0.25 NM E of LVK",NA
"Aircraft heading Nbound reported a small drone 10 NM S of DAA heading Wbound at 4,000 feet. No evasive action reported. Charles County Sheriff notified","11/14/2018","19:02","2018-11-14T19:02Z","DAL1287","NCRCC","UAS",NA,"PCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10 NM S of PCT",NA
"PIC reported a quadcopter UAS while ESE bound at 6,500FT 30 NM SSW SLC. No evasive action taken. Salt Lake ARPT PD notified at.","11/15/2018","22:32","2018-11-15T22:32Z","N914AC","DEN","UAS",NA,"ZLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","30 NM SSW SLC",NA
"Reported a UAS while N Bound at 1,500 feet 8 NM E Denton Enterprise Airport. No evasive action taken. Denton County Sheriff notified at. ","11/18/2018","0:55","2018-11-18T00:55Z","N680MA","CONR","UAS",NA,"DTO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","8 NM E  DTO",NA
"Reported sighting at UAS off of the right side at same altitude while Sbound at 6,000 feet, 18 NM ENE of Montgomery. No evasive action taken. Montgomery Sheriff notified at.","11/18/2018","9:49","2018-11-18T09:49Z","N6654H","DEN","UAS",NA,"MGM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","18 NM ENE of MGM",NA
"SEA ATCT advised UAS activity reported by King County Airport Operations via landline approximately 100 feet .25 NM SW of SEATAC. Airport Operations that they will attempt to locate the UAS.","11/20/2018","3:01","2018-11-20T03:01Z",NA,"DEN","UAS",NA,"SEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DESIGNATED POINT",".25 NM SW of SEATA",NA
"Reported striking a UAS from the 12 o'clock position while NNW bound at 8,000 feet, 8 NM NW of Newark. No injuries reported. New York State PD Aviation Unit will be notified. ","11/22/2018","7:26","2018-11-22T07:26Z","ASQ4276","DEN","UAS",NA,"ZNY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","8 NM NW of ZNY",NA
"PIC reported a dark green UAS at the 11 o'clock position under left wing less than100FT below Aircraft while E bound at 2,500FT 10 NM WSW IAH. No evasive action. FBI notified at. ","11/22/2018","22:55","2018-11-22T22:55Z","N56425","DEN","UAS",NA,"I90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","10 NM WSW IAH",NA
"Reported observing a greyish-blue UAS with 4 rotors passWbound off of the left side operating at 200 to 300 feet, 1.5 NM ENE of HWO. Evasive action not reported. Pembroke Pines PD notified at. ","11/25/2018","2:30","2018-11-25T02:30Z","N4350E","DEN","UAS",NA,"HWO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1.5 NM ENE of HWO",NA
"AUAS was observed .4 NM SSW of the PMP airport at 100-150 feet. Broward County Sheriff was dispatched to the area with unknown results.","12/2/2018","6:17","2018-12-02T06:17Z",NA,"DEN","UAS",NA,"PMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)",".4 NM SSW of PMP",NA
"An off duty Controller advised BUR ATCT of a small green lit UAS 1 NM N of BUR. No evasive actions taken. LAPD Aviation Unit notified at.","12/3/2018","10:02","2018-12-03T10:02Z",NA,"DEN","UAS",NA,"BUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM N of BUR",NA
"Reported a UAS left side of aircraft at same attitude while SW bound at 1,200 feet 3 NM NE LGA. No evasive action taken. NYPD notified at. ","12/4/2018","3:46","2018-12-04T03:46Z","AAL2148","CONR","UAS",NA,"LGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","3 NM NE LGA",NA
"PIC reported a blue and black UAS at 2,500FT 2 NM S Roanoke, VA. No evasive action reported. No LEO information provided.","12/12/2018","3:53","2018-12-12T03:53Z","N718CA","DEN","UAS",NA,"ROA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM S  ROA",NA
"Tower advised HQ DEN that a UAS flew directly over the tower hovered for a moment then departed to the N. A Denver Police helicopter was in the area and was attempting to track the UAS to a park 4-5 NM N of the airport. Tower advised there was no impact to any traffic and will follow up if the pilot is apprehended. ","12/12/2018","11:08","2018-12-12T11:08Z",NA,"DEN","UAS","SUSPICIOUS ACTIVITY","APA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM N of APA",NA
"PIC reported a UAS at 400FT 3 NM SE Cecil ARPT. No evasive action reported. Law enforcement not notified. No further information provided.","12/13/2018","5:24","2018-12-13T05:24Z","SPTN715","DEN","UAS",NA,"JAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM SE  JAX",NA
"PIC reported a red and yellow UAS approximately 4FT in diameter pass within 100-200FT of Aircraft while SSW bound at 2,500FT 4 NM NW New Haven. No evasive action taken. New Haven PD notified at.","12/13/2018","21:01","2018-12-13T21:01Z","N523GC","DEN","UAS",NA,"HVN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4 NM NW  HVN",NA
"Aircraftreported a grey UAS off the rightside, 200FT below,while E bound at 1,000 feet, 6 NM W Miami. No evasive action taken. Miami Dade PD Aviation Unit notified at. ","12/14/2018","1:32","2018-12-14T01:32Z","CMP430","DEN","UAS",NA,"MIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","6 NM W  MIA",NA
"PIC reported a UAS while S bound at 1,000FT 4 NM NE of Pompano. No evasive action taken. UAS was N bound parallel to the ocean shore. Broward County Sheriff notified via 911.","12/17/2018","22:32","2018-12-17T22:32Z","N568DC","DEN","UAS",NA,"PMP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4 NM NE of PMP",NA
"PIC reported a UAS while E bound at 2,800FT, 3 NM S Maxwell AFB ATCT. Aircraft climbed 100FT to avoid UAS. Maxwell AFB ATCT notified due to the UAS operating inside the base perimeter.","12/17/2018","23:10","2018-12-17T23:10Z","N964GV","DEN","UAS",NA,"MGM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM S  MGM",NA
"Airport OPS reported observed a UAS at 300 feet approximately .5 NM S of the airport. No aircraft involved. W Palm Beach PD notified at.","12/18/2018","4:36","2018-12-18T04:36Z",NA,"DEN","UAS",NA,"PBI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)",".5 NM S of PBI",NA
"Aircraftreported 6 to 7 UAS operating at 1,000 feet 1 NM N of the airport. Noevasive action reported. Nashville Airport PD notified at. ","12/18/2018","5:35","2018-12-18T05:35Z","N53460","DEN","UAS",NA,"MQY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM N of MQY",NA
"PIC reported a UAS at 6,000FT 1 NM W of Colorado Springs. Evasive action not reported. LEO notified.","12/25/2018","7:13","2018-12-25T07:13Z","N778TL","DEN","UAS",NA,"COS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM W of COS",NA
"PIC reported a quadcopter UAS 50FT off left side at same altitude while S bound at 5,000FT 12 NM SE Orlando. No evasive action reported. Orange County Sheriff notified at.","12/26/2018","1:11","2018-12-26T01:11Z","EDV3457","DEN","UAS",NA,"F11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","12 NM SE  F11",NA
"PIC reported a UAS heading N bound at 1,000FT 3 NM N of Las Vegas ARPT. No evasive action taken. Las Vegas Metro PD notified at. ","12/26/2018","7:37","2018-12-26T07:37Z","WALE04","DEN","UAS",NA,"LAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM N of LAS",NA
"W-ROC reported aircraft reported a UAS at 1,500 feet, 3 NM NW of Salinas, CA. No evasive action taken. Unknown if LEO were notified. ","12/30/2018","2:26","2018-12-30T02:26Z","N177WD","DEN","UAS",NA,"SW1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM NW of SW1",NA
"Aircraft reported gray quadcopterUAS, pass 400 feet below, whileS bound at 2,000 feet, 1 NM W of S50. No evasive action taken. AuburnPD notified at.","1/13/2019","4:08","2019-01-13T04:08Z","N3020S","DEN","UAS",NA,"S46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM W of S46",NA
"ATCT was advised by SKF Command Post that a concerned citizen reported a large glider type UAS between 500-1,000 feet approximately 8 NM SSE of Lackland AFB. UAS was over Huebner Rd. between Bandera Rd. and Babcock Rd. LEO was not notified.","1/18/2019","8:33","2019-01-18T08:33Z",NA,"DEN","UAS",NA,"SKF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","8 NM SSE of SKF",NA
"Aircraft reported UAS off the leftat same altitude while S bound at 4,000 feet, 10 NM WNW PHX. No evasive action taken. Unknown if LEO notified. ","1/25/2019","22:31","2019-01-25T22:31Z","AAL499","DEN","UAS",NA,"P50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","10 NM WNW PHX",NA
"PICreported a red 1'X1' UAS 100 feet below their aircraft while S bound at 3,600 feet 1 NM S of Tucson, AZ. No evasive action taken. Tucson PD notified at.","1/27/2019","5:46","2019-01-27T05:46Z","N5710F","DEN","UAS",NA,"TUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM S of TUS",NA
"PIC reported a white rotorcraft from the 12 o'clock position while NNW bound at 3,500FT 12 NM E PHX. No evasive action taken. Mesa PD notified at.","1/28/2019","2:55","2019-01-28T02:55Z","N196MC","DEN","UAS",NA,"P50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","12 NM E PHX",NA
"PIC reported a UAS at it's 12 o'clock position 50FT above Aircraft while turning W bound at 7,500FT 8.5 NM NE PHL. No evasive action reported. Local law enforcement notified at.","1/29/2019","0:03","2019-01-29T00:03Z","JIA5379","DEN","UAS",NA,"PHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","8.5 NM NE PHL",NA
"Reported observing a large black UAS pass at 7,000 feet, 13 NM E of Los Angeles. No evasive action taken. LEO was not notified. ","1/30/2019","11:31","2019-01-30T11:31Z","SPLY17","DEN","UAS",NA,"LAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","13 NM E of LAX",NA
"PIC reported a quad copter UAS 1,000FT below Aircraft while SE bound at 5,500FT 20 NM NW of Fort Meyers. No evasive action taken. Lake County Sheriff notified at. ","2/1/2019","22:23","2019-02-01T22:23Z","N650FT","DEN","UAS",NA,"RSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","20 NM NW of RSW",NA
"PIC reported a green cone-shaped UAS from the right side while NNW bound at 7,000FT 6 NM ENE of Orlando Executive ARPT. No evasive action taken. Orange County Sheriff notified at. ","2/3/2019","3:23","2019-02-03T03:23Z","FFT1158","DEN","UAS",NA,"F11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","6 NM ENE of F11",NA
"Reported a red UAS quad-copter 500 feet above aircraft while NNE bound at 4,500 feet, 10 NM N of Houston. No evasive action taken. Montgomery County Sheriff notified at. ","2/4/2019","4:46","2019-02-04T04:46Z","ASQ4271","DEN","UAS",NA,"I90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","10 NM N of I90",NA
"PIC reported a quad-copter UAS pass off left side while heading S bound at 500FT 1 NM N of Orlando, FL. No evasive action taken. Orange County Sheriff notified at.","2/5/2019","22:24","2019-02-05T22:24Z","AAL227","DEN","UAS",NA,"F11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM N of F11",NA
"Aircraft reporteda UAS at Mt. Lee while Wbound at 2,000 feet, 5 NM SE of Burbank. Evasive action not reported. LEO notified at. ","2/8/2019","3:46","2019-02-08T03:46Z","N805HD","DEN","UAS",NA,"BUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM SE of BUR",NA
"Aircraft reporteda black, hexagonal UAS approximately 50 feet abovewhile at 4,000 feet, 2 NM E ofBillings. No evasive action taken. Billings PD notified. ","2/8/2019","5:58","2019-02-08T05:58Z","N40BL","DEN","UAS",NA,"BIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM E of BIL",NA
"PIC observed a UAS between .5-1 NM off their right side while WNW bound at 5,000 feet 3 NM ESE of San Jose, CA. No evasive action reported. LEO notification not reported.","2/10/2019","2:49","2019-02-10T02:49Z","SWA5882","DEN","UAS",NA,"WOC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM ESE of WOC",NA
"PIC reported a UAS 200 feet off their right wing while NNE bound at 1,800 feet 11 NM SE of Yuma, AZ. No evasive action reported. Yuma Base Security notified at.","2/11/2019","1:03","2019-02-11T01:03Z","N9163J","DEN","UAS",NA,"YUM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","11 NM SE of YUM",NA
"Aircraft reporteda 4 rotor UAS whileNE boundat 3,000 feet, 6 NME of LGA.No evasive action taken. NYPD Aviation Unit notified at. ","2/14/2019","23:43","2019-02-14T23:43Z","SKW3759","DEN","UAS",NA,"N90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","6 NME of N90",NA
"Report of a black and red quad copter UAS at 600 feet 2 NM E LAX (vicinity of new stadium construction site). No evasive action reported.LAX airport operations notified at. ","2/19/2019","1:15","2019-02-19T01:15Z","N66DD","DEN","UAS",NA,"LAX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT","2 NM E LAX",NA
"Reported white UAS 2100 feet 1 NM W Lawrenceville, GA. Evasive action not reported. LEO not notified. ","2/19/2019","3:13","2019-02-19T03:13Z","N728P","DEN","UAS",NA,"LWM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM W  LWM",NA
"ENY3930 reported UAS from the right side while Sbound at 3,000, 3 NM W of Arlington. No evasive action taken. DFW DPS notified at.","2/20/2019","20:43","2019-02-20T20:43Z","ENY3930","DEN","UAS",NA,"DFW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3 NM W of DFW",NA
"New Hampshire State PD reported sighting a Quad-copter hovering at approximately 100 feet over I-93, 2 NM W of Concord. ","2/21/2019","7:03","2019-02-21T07:03Z",NA,"DEN","UAS",NA,"CON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","2 NM W of CON",NA
"PIC reported a black quad copter UAS at 5,000 feet while N bound 5 NM S of Burbank, CA. No evasive action taken. LAPD Aviation Unit notified at.","2/24/2019","1:41","2019-02-24T01:41Z","QXE2856","DEN","UAS",NA,"ZLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM S of ZLA",NA
"PIC reported a UAS off their right side while N bound at 11,500 feet 7.5 NM SW of Orlando, FL. No evasive action taken. Orange County Sheriff notified at.","2/26/2019","5:12","2019-02-26T05:12Z","N2911W","DEN","UAS",NA,"F11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","7.5 NM SW of F11",NA
"PIC reported a UAS 200 feet below their aircraftoff theright side while NNE bound at 1,200 feet 1 NM NE W of Palm Beach, FL. No evasive action taken. Palm Beach Sheriff notified at.","3/1/2019","22:43","2019-03-01T22:43Z","N812BG","DEN","UAS",NA,"PBI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM NE  PBI",NA
"PIC reported a red UAS 200 feet above them while N bound at 1,300 feet 6 NM S of Greenville, NC. No evasive action taken. Pitt-Greenville PD notified at.","3/3/2019","22:38","2019-03-03T22:38Z","N816EC","DEN","UAS",NA,"ZDC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","6 NM S of ZDC",NA
"PIC reported a small white UAS off their left side at 1,000 feet while E bound at 1,600 feet 5 NM W of San Juan, PR. No evasive action taken. San Juan PD notified at.","3/3/2019","22:54","2019-03-03T22:54Z","TSC640","DEN","UAS",NA,"SJU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","5 NM W of SJU",NA
"Black and White UAS 200 feet above aircraft while SW bound at 1000 feet, 4 nm NE of LGA. No evasive action taken. NYPD aviation unit notified,. ","3/4/2019","1:27","2019-03-04T01:27Z","RPA5932","DEN","UAS",NA,"N90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4 nm NE of N90",NA
"Reported a silver UAS or balloon pass 150 feet off the left side at 500 feet 3nm SE of SAV. No evasive action taken. LEO notification not reported.","3/4/2019","1:36","2019-03-04T01:36Z","N828AK","DEN","UAS",NA,"SAV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3nm SE of SAV",NA
"Black UAS with three propellers off the right side while S bound at 1300 feet 3nm N of MCO. No evasive action taken. Orange County Sheriff notified at.","3/4/2019","2:40","2019-03-04T02:40Z","JBU1351","DEN","UAS",NA,"MCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","3nm N of MCO",NA
"Reported sighting a UAS operating between 6,000 and 7,000 feet off of Baseline and 35th AVE while SW bound at 7,000 feet, 9 NM SW of Phoenix. No evasive action reported. Phoenix Airport PD notified at.","3/6/2019","3:17","2019-03-06T03:17Z","N966H","DEN","UAS",NA,"P50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","9 NM SW of P50",NA
"Reported observing a UAS off of the 7 o'clock position while Nbound at 3,000 feet,4 NM NE of Sugarland Airport. No evasive action taken. Fort Bend County PD notified at.","3/6/2019","4:01","2019-03-06T04:01Z","N66RC","DEN","UAS",NA,"I90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4 NM NE of I90",NA
"PIC reported a UAS within 200 feet of their aircraft while at 11,000 feet 7 NM SW of Marysville, CA. No evasive action reported. LEO notification not reported.","3/20/2019","4:52","2019-03-20T04:52Z","JZA43","DEN","UAS",NA,"NCT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","7 NM SW of NCT",NA
"PIC reported a white UAS pass below their Aircraft while E bound at 4,800 feet 4.5 NM E of Addison Airport, Dallas, TX. No evasive action taken. DFW Airport PD notified at. ","3/21/2019","5:03","2019-03-21T05:03Z","N852P","DEN","UAS",NA,"ADS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","4.5 NM E of ADS",NA
"PIC reported a black and red UAS off their right side at the same altitude, 1,400 feet 1 NM SE of Cincinnati, OH. No evasive action taken. Cincinnati PD notified at.","3/24/2019","0:29","2019-03-24T00:29Z","N348RM","DEN","UAS",NA,"CVG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AIRPORT(?)","1 NM SE of CVG",NA
